#{"t_start": 1782383811.8274822, "env_id": "None"}
r,l,t
19.98993,1,16.091424
19.974588,1,26.547257
19.976616,1,36.594066
19.975185,1,47.038043
19.975117,1,57.638982
19.974838,1,68.587447
19.972391,1,79.690859
19.969297,1,91.14651
19.967243,1,103.26069
19.965052,1,115.172521
19.965097,1,127.237305
19.965147,1,139.654372
19.967665,1,151.72191
19.96654,1,164.086019
19.9667,1,176.79029
19.969137,1,189.654015
19.970331,1,202.849549
19.972013,1,216.225956
19.971935,1,229.952003
19.972513,1,243.832099
19.971064,1,258.514171
19.971588,1,272.294419
19.967289,1,286.429199
19.96616,1,300.913779
19.966707,1,315.552369
19.966825,1,330.538314
19.967812,1,345.682991
19.9667,1,361.180981
19.967762,1,376.829368
19.966825,1,392.832366
19.967196,1,409.489706
19.965326,1,425.896488
19.96422,1,442.506981
19.96027,1,458.864126
19.963263,1,475.55927
19.963873,1,492.412881
19.963888,1,509.613785
19.965431,1,526.93825
19.964415,1,544.631897
19.966238,1,562.490077
19.965868,1,581.201391
