#{"t_start": 1782385897.203119, "env_id": "None"}
r,l,t
-41.868755,300,37.611122
-54.00032,101,49.813829
-10.0,1,51.880156
-10.0,1,53.998074
-10.0,1,56.267173
-10.0,1,58.633558
-10.0,1,61.052357
-10.0,1,63.62502
-10.0,1,66.292734
-10.0,1,69.065677
-10.0,1,71.935443
-10.0,1,74.909054
-10.0,1,77.982481
-10.0,1,81.106168
-10.0,1,84.381712
-10.0,1,87.704561
-10.0,1,91.17886
-10.0,1,94.707458
-10.0,1,98.38478
-10.0,1,102.112338
-10.0,1,105.988685
-10.0,1,109.969538
-10.0,1,114.049169
-10.0,1,118.228712
-10.0,1,122.511833
-10.0,1,126.891146
-10.0,1,131.374796
-10.0,1,135.957182
-10.0,1,141.094002
-10.0,1,145.883082
-10.0,1,150.719088
-10.0,1,155.70736
-10.0,1,160.795129
-10.0,1,165.982757
-10.0,1,171.21877
-10.0,1,176.608243
-10.0,1,182.09646
-10.0,1,187.685666
-10.0,1,193.376484
-10.0,1,199.167235
-10.0,1,205.057472
-10.0,1,211.046277
-10.0,1,217.141333
-10.0,1,223.335515
-10.0,1,229.632586
-10.0,1,236.030297
-10.0,1,242.532178
-10.0,1,249.132119
-10.0,1,255.828836
-10.0,1,262.62503
-10.0,1,269.525512
-10.0,1,276.521732
-10.0,1,283.612672
-10.0,1,290.815912
-10.0,1,298.115605
-10.0,1,305.515294
-10.0,1,313.018687
-10.0,1,320.623863
-10.0,1,328.334466
-10.0,1,336.140889
-10.0,1,344.048616
-10.0,1,352.053514
-10.0,1,360.157683
-10.0,1,368.361847
-10.0,1,376.66973
-10.0,1,385.080057
-10.0,1,393.538999
-10.0,1,402.152639
-10.0,1,410.867109
-10.0,1,419.678259
-10.0,1,428.543152
-10.0,1,437.553778
-10.0,1,446.666891
-10.0,1,455.880339
-10.0,1,465.149286
-10.0,1,474.568148
-10.0,1,484.086329
-10.0,1,493.702644
-10.0,1,503.423042
-10.0,1,513.23261
-10.0,1,523.14919
-10.0,1,533.164663
-10.0,1,543.282975
-10.0,1,553.444573
-10.0,1,563.752771
-10.0,1,574.163598
-10.0,1,584.692301
-10.0,1,595.312594
