#{"t_start": 1782477775.7980578, "env_id": "None"}
r,l,t,is_success,final_distance,is_out_of_bounds,terminal_reason
-20.033909,200,42.077414,False,2.289714271631744,False,max_steps
-122.70488,200,75.067283,False,5.055303134702551,False,max_steps
-18.578325,200,107.744126,False,1.2470681721695034,False,max_steps
-24.000458,200,141.839199,False,1.2957167117703616,False,max_steps
-93.04406,200,175.457375,False,3.5041001365901843,False,max_steps
-119.027466,200,215.278445,False,6.533059936040565,False,max_steps
-107.54265,200,253.285048,False,6.585006515830091,False,max_steps
-110.18243,200,297.316068,False,4.008191797408185,False,max_steps
-39.703217,200,335.54524,False,0.8717898509976774,False,max_steps
-62.49323,200,375.273996,False,2.694283631469859,False,max_steps
-73.498146,107,411.933856,False,8.055983715262595,True,out_of_bounds
-49.064045,200,452.463668,False,0.9486216764183422,False,max_steps
-82.145134,200,497.295924,False,2.7220385503557942,False,max_steps
-135.33682,200,544.82003,False,2.7144288950640516,False,max_steps
-51.681084,200,598.912286,False,1.1096076189998796,False,max_steps
-93.453705,200,651.471734,False,4.170499003069717,False,max_steps
-30.273155,200,704.823023,False,3.4462507112849705,False,max_steps
-40.294373,200,760.668355,False,0.7692830200437372,False,max_steps
-113.347015,200,820.972554,False,6.346469876994754,False,max_steps
-77.358475,200,884.116796,False,3.3469651953897275,False,max_steps
-86.816895,200,952.522367,False,2.459585875545858,False,max_steps
-37.081646,200,1018.666073,False,1.8891675543783526,False,max_steps
-68.02741,200,1084.610764,False,2.915117479628964,False,max_steps
-38.790916,102,1144.133337,False,6.260826889079507,True,out_of_bounds
-27.6528,200,1211.926088,False,1.5902391539669014,False,max_steps
-54.3055,200,1282.067687,False,3.849552360132067,False,max_steps
