#{"t_start": 1782823683.9370565, "env_id": "None"}
r,l,t,is_success,final_distance,is_out_of_bounds,is_unsafe_low_altitude,altitude,terminal_reason,physical_displacement,path_length,max_physical_displacement,min_altitude,motion_command_steps,motion_command_accepted_steps,motion_command_acceptance_rate,reset_method,reset_path,reset_service_attempted
-16.140598,200,36.054852,False,2.2296735289788385,False,False,3.2229824121588737,max_steps,3.0923470845771766,10.949991700065052,3.518927220228526,0.9464236038098802,200,200,1.0,simulator_service,service_success,True
-23.218897,30,49.998427,False,2.5068861949696912,False,True,0.7081153322908498,unsafe_low_altitude,1.5191966972318462,1.9204039937378266,1.5191966972318462,0.7081153322908498,30,30,1.0,velocity,post_controller_hold,False
-74.79564,200,85.461685,False,3.653316867928834,False,False,3.1690207989472947,max_steps,4.835269836213735,14.622685008370828,4.835269836213735,0.7985136180677666,200,200,1.0,velocity,post_controller_hold,False
-9.950733,200,117.834781,False,0.8075771221119842,False,False,1.736381967252608,max_steps,1.7842844565001004,5.443467951850813,1.786073466483787,0.9258883930102257,200,200,1.0,velocity,post_controller_hold,False
-16.916634,17,130.309185,False,1.9789722272183585,False,True,0.7120799578798436,unsafe_low_altitude,0.434150223327881,0.44753260093791564,0.434150223327881,0.7120799578798436,17,17,1.0,velocity,post_controller_hold,False
-42.759827,79,153.441116,False,2.8927650304543118,False,True,0.6500878165325034,unsafe_low_altitude,0.9482742131380221,4.7369425941164955,1.2825324759200711,0.6500878165325034,79,79,1.0,velocity,post_controller_hold,False
-91.7307,200,188.996436,False,4.070264087818648,False,False,2.79973333437371,max_steps,2.725793186093949,14.559159769323218,3.4871684347898335,1.045617411359362,200,200,1.0,velocity,post_controller_hold,False
-49.76483,200,224.102143,False,1.7779400836655126,False,False,1.1761943462411366,max_steps,1.9109894853983942,7.5881263713324305,2.286782054487212,0.8631943542416788,200,200,1.0,velocity,post_controller_hold,False
-58.680717,200,262.18446,False,3.196395183597945,False,False,1.663635516873259,max_steps,1.4377819961472964,12.025376254174777,2.961435757984425,0.9312475657706563,200,200,1.0,velocity,post_controller_hold,False
-70.4435,113,297.5557,False,6.03137550351052,False,True,0.603639091109182,unsafe_low_altitude,4.227272094511907,7.614313498527198,4.374848835586714,0.603639091109182,113,113,1.0,velocity,post_controller_hold,False
-6.6985455,79,328.159245,True,0.17153092236885611,False,False,1.080330160270017,success,2.0007394608898967,5.80385424148123,2.400285654738111,1.035483782817816,79,79,1.0,velocity,post_controller_hold,False
-79.41211,200,368.573156,False,4.336488976875361,False,False,3.1070969138441678,max_steps,5.81892494852178,13.658601427051885,5.81892494852178,0.8173687009199249,200,200,1.0,velocity,post_controller_hold,False
-26.955254,39,395.9552,False,2.027274067060314,False,True,0.6115101041823918,unsafe_low_altitude,0.7513073416079531,1.4327550287605004,0.7513073416079531,0.6115101041823918,39,39,1.0,velocity,post_controller_hold,False
-64.00386,200,445.251419,False,2.3332598207336606,False,False,1.4164045652964965,max_steps,0.9417934981374524,6.117170311151983,1.1595243981001073,0.7964035131680881,200,200,1.0,velocity,post_controller_hold,False
-26.987663,45,467.795596,False,2.085626165530669,False,True,0.7059506573710949,unsafe_low_altitude,0.5294848488560869,1.5272195194023404,0.5294848488560869,0.7059506573710949,45,45,1.0,velocity,post_controller_hold,False
-37.26622,69,506.488163,False,4.811759065617139,False,True,0.4989603430399444,unsafe_low_altitude,2.8758829894361555,4.283268585426013,2.8758829894361555,0.4989603430399444,69,69,1.0,velocity,post_controller_hold,False
