#{"t_start": 1782832116.8000515, "env_id": "None"}
r,l,t,is_success,final_distance,is_out_of_bounds,is_unsafe_low_altitude,altitude,terminal_reason,physical_displacement,path_length,max_physical_displacement,min_altitude,motion_command_steps,motion_command_accepted_steps,motion_command_acceptance_rate,reset_method,reset_path,reset_service_attempted,vertical_safety_penalty,low_altitude_guard_active
-20.611282,200,38.154869,False,2.3252259109912923,False,False,3.91131823890386,max_steps,3.213296250410361,11.132902410863492,3.5489872567940517,1.5631618065919952,200,200,1.0,simulator_service,service_success,True,0.0,False
-119.14158,200,72.920168,False,3.5207879394390993,False,False,3.6128240793765745,max_steps,3.3205539671402384,15.673703187521951,3.683117556754685,1.2916908293065419,200,200,1.0,velocity,post_controller_hold,False,0.0,False
-60.305897,189,110.001901,False,4.055846670009424,True,False,2.5358073370811187,out_of_bounds,6.005458161692402,12.502892473122257,6.005458161692402,1.5429157899558235,189,189,1.0,velocity,post_controller_hold,False,0.0,False
-34.348515,200,149.251295,False,3.1039630812010146,False,False,3.74030578077427,max_steps,4.767350583873585,11.80950019817221,4.767350583873585,1.5946841689901594,200,200,1.0,velocity,post_controller_hold,False,0.0,False
-46.981163,200,185.573269,False,2.345042971201374,False,False,1.557512207249279,max_steps,2.7219395781033042,9.390249061152467,2.7219395781033042,1.4982377248118959,200,200,1.0,velocity,post_controller_hold,False,0.0,False
-57.73359,200,220.583559,False,0.6675394577340917,False,False,2.1168388712237713,max_steps,1.7108336355004987,5.594702149712577,1.7108336355004987,1.3677239876485117,200,200,1.0,velocity,post_controller_hold,False,0.0,False
-72.78294,200,263.185056,False,4.335987740198792,False,False,2.681031570541065,max_steps,2.4907011646120742,11.997027590243588,2.5972333793202416,1.8052016442322032,200,200,1.0,velocity,post_controller_hold,False,0.0,False
-23.761482,35,287.291785,False,3.3569563676881606,False,True,0.9948267557478812,unsafe_low_altitude,1.5653402680831803,2.4536968855803343,1.5653402680831803,0.9948267557478812,35,35,1.0,velocity,post_controller_hold,False,0.0,False
-88.19472,200,330.486447,False,0.7972398382151924,False,False,2.0592303014782014,max_steps,2.694863434846918,11.300515052696243,2.694863434846918,1.1070848643592353,200,200,1.0,velocity,post_controller_hold,False,0.0,False
2.3590164,59,360.427518,True,0.2418544486908459,False,False,1.7923666634887334,success,1.901213646944145,3.2692597189133226,1.901213646944145,1.4664269999251396,59,59,1.0,velocity,post_controller_hold,False,-0.6678650003743025,False
-60.767654,77,393.381724,False,2.5654257741573425,False,True,0.985101777599723,unsafe_low_altitude,0.9211082452902282,4.258455911111215,1.7237538694805283,0.985101777599723,77,77,1.0,velocity,post_controller_hold,False,0.0,False
-69.12885,200,445.579925,False,2.4000070975011285,False,False,2.9074871815850725,max_steps,1.551200038187198,6.839663720144054,1.551200038187198,1.4527734820122724,200,200,1.0,velocity,post_controller_hold,False,0.0,False
-141.76247,188,504.284176,False,8.091563884440491,True,False,5.41551476322508,out_of_bounds,7.252910863933059,13.982471786918584,7.252910863933059,1.2571002474308839,188,188,1.0,velocity,post_controller_hold,False,0.0,False
-114.38899,200,559.055231,False,0.9542739248680802,False,False,2.2516368629965724,max_steps,2.2460318220045736,6.9899223889964555,2.2460318220045736,1.243009616571017,200,200,1.0,velocity,post_controller_hold,False,0.0,False
-162.90544,200,611.00643,False,3.7195438367279476,False,False,2.417948495139996,max_steps,2.298407404330525,14.258233976708972,2.298407404330525,1.0985295376510458,200,200,1.0,velocity,post_controller_hold,False,0.0,False
-71.16955,200,678.175086,False,1.7823716237419793,False,False,1.5048275220803558,max_steps,3.3750052358564164,11.29950663912369,3.3750052358564164,1.5048275220803558,200,200,1.0,velocity,post_controller_hold,False,-0.6189610310915348,True
-92.59236,173,737.751467,False,1.346712252504607,False,True,0.5226533020854872,unsafe_low_altitude,1.6164658211003708,9.35401167653216,2.4725970880410304,0.5226533020854872,173,173,1.0,velocity,post_controller_hold,False,0.0,False
