#{"t_start": 1783094212.584979, "env_id": "None"}
r,l,t,is_success,final_distance,is_out_of_bounds,is_unsafe_low_altitude,altitude,terminal_reason,terminal_stop_command_accepted,physical_displacement,path_length,max_physical_displacement,min_altitude,motion_command_steps,motion_command_accepted_steps,motion_command_acceptance_rate,mean_action_norm,max_action_norm,mean_xy_action_norm,max_xy_action_norm,last_action_vx,last_action_vy,last_action_vz,last_action_vyaw,reset_method,reset_path,reset_service_attempted,reset_failure_class,reset_position_error,reset_yaw_error,reset_service_status,vertical_safety_penalty,low_altitude_guard_active
13.78788,56,29.138985,True,0.39128820555738786,False,False,1.8601196104518194,success,True,0.9849263017187673,4.163639819036557,1.1223472010076818,1.2408585592596253,56,56,1.0,0.395187549422323,0.5954220444662767,0.3398514130513043,0.5641477544223741,0.23848003149032593,0.44336915016174316,0.17063547670841217,-0.08744605630636215,simulator_service,service_success,True,,0.1213,0.0,service_success,0.0,False
15.10993,77,50.409781,True,0.3205254050377983,False,False,1.6524523699759703,success,True,0.9880669765227829,4.249252405849168,1.5482392894992008,1.270424539408775,77,77,1.0,0.3438500878136624,1.0505478757404045,0.20984235867419027,0.5271356842602201,-0.16694918274879456,0.5,0.24409978091716766,-0.8753251433372498,velocity,post_controller_hold,False,,0.1886,0.78,not_attempted,0.0,False
-20.143326,24,59.40143,False,2.0618572846400345,True,False,2.5101195971194987,out_of_bounds,True,1.2734802863028574,2.6585142742089274,1.3079617568269288,1.6991563694178875,24,24,1.0,0.8622175954866319,1.525472867564988,0.5012157114221858,0.5644414571718731,0.02664850279688835,-0.5,0.5,1.0557310581207275,velocity,post_controller_hold,False,,0.1823,2.0901,not_attempted,0.0,False
-17.526241,17,66.85084,False,1.266849548339926,True,False,2.5018637630334895,out_of_bounds,True,0.9308917322913731,0.9947695011633153,0.9308917322913731,1.5879981672854162,17,17,1.0,0.41172935713587533,0.6185980923417889,0.1370809818054959,0.29597176595041014,-0.09678863734006882,-0.2796984910964966,0.3655624985694885,0.40178149938583374,simulator_service,service_success,True,,0.0189,0.0,service_success,0.0,False
-11.693773,80,88.965902,False,1.5268128747173633,False,False,1.34815030280168,max_steps,True,0.6254487523465931,4.019123257993399,0.860705039695239,1.261168898982034,80,80,1.0,0.3164508381364845,0.8555966565816636,0.22821885918834708,0.6242419694131978,-0.5,-0.373735249042511,0.5,-0.3039203882217407,simulator_service,service_success,True,,0.0183,0.0,service_success,-1.007536082075716,True
-62.736973,78,109.185108,False,1.839156804793968,True,False,2.5191251112508257,out_of_bounds,True,1.1406477643833843,6.5950208068836265,1.9630730609686113,1.1410458446179754,78,78,1.0,0.5668439067574068,1.4839447599056395,0.3207887790561757,0.6735794430458355,-0.35937294363975525,-0.5,0.5,1.254170298576355,velocity,post_controller_hold,False,,0.1101,0.912,not_attempted,0.0,False
20.365253,13,116.362007,True,0.38766954477751314,False,False,1.5179980139869087,success,True,0.5649542581396022,0.7507370553284645,0.5649542581396022,1.5179980139869087,13,13,1.0,0.38117285280506447,0.4676142388889901,0.2756671563295099,0.4375041267375402,0.2228943109512329,-0.17282076179981232,0.29204070568084717,-0.13671019673347473,simulator_service,service_success,True,,0.0177,0.0001,service_success,0.0,False
-20.540182,46,130.194613,False,1.2633732001084659,True,False,2.5042734983349546,out_of_bounds,True,1.7169146199326644,3.562380146473426,1.7169146199326644,1.5545983692600498,46,46,1.0,0.4601993262334017,0.7976722627971936,0.3052197926308721,0.6214180003860567,-0.2945980131626129,-0.39992958307266235,0.5,0.246839240193367,velocity,post_controller_hold,False,,0.1485,0.3868,not_attempted,0.0,False
-47.915577,80,154.499063,False,1.4399699842277818,False,False,2.364851388013903,max_steps,True,1.879556740401459,9.083032843178161,3.0257212791991015,1.168379029000773,80,80,1.0,0.8144215869252734,1.793711581496792,0.46630895999431077,0.7071067811865476,0.039814531803131104,-0.24897141754627228,0.04289929196238518,-0.5100453495979309,simulator_service,service_success,True,,0.0144,0.0,service_success,0.0,False
-17.564827,17,162.418895,False,1.3439018184070195,True,False,2.549244851703952,out_of_bounds,True,0.9056559573971896,1.1136401004888838,0.9056559573971896,1.6631628037946298,17,17,1.0,0.41190329883460036,0.6478314901658945,0.18248768011819047,0.4861771607192722,0.1762569695711136,-0.1449011117219925,0.5,0.34296178817749023,velocity,post_controller_hold,False,,0.1555,0.6346,not_attempted,0.0,False
