#{"t_start": 1783131029.739724, "env_id": "None"}
r,l,t,is_success,final_distance,is_out_of_bounds,is_unsafe_low_altitude,altitude,terminal_reason,terminal_stop_command_accepted,terminal_yaw_error,terminal_yaw_penalty,physical_displacement,path_length,max_physical_displacement,min_altitude,motion_command_steps,motion_command_accepted_steps,motion_command_acceptance_rate,mean_action_norm,max_action_norm,mean_xy_action_norm,max_xy_action_norm,last_action_vx,last_action_vy,last_action_vz,last_action_vyaw,reset_method,reset_path,reset_service_attempted,reset_failure_class,reset_position_error,reset_yaw_error,reset_service_status,vertical_safety_penalty,low_altitude_guard_active
-18.969215,40,21.089764,False,1.2052927440645855,True,False,2.5064983716089344,out_of_bounds,True,0.03512544476485762,0.0,1.1066233945911235,2.426648780908083,1.1066233945911235,1.420726275210138,40,40,1.0,0.3477874973367378,0.8604172535608213,0.259139291633415,0.5283904448655751,0.2038479447364807,-0.09250035881996155,0.13610078394412994,-0.13797317445278168,simulator_service,service_success,True,,0.0813,1.1096,service_success,0.0,False
-35.27735,48,34.969394,False,3.5058716114636033,True,False,2.5076352088259304,out_of_bounds,True,0.09651004427783373,0.0,3.0594727309056524,6.50342450175083,3.0594727309056524,1.175375083187958,48,48,1.0,1.0298855791385708,1.5045403417303918,0.5600963658112519,0.7071067811865476,0.14945855736732483,-0.09220175445079803,0.5,-0.8025316596031189,simulator_service,service_success,True,,0.0206,0.0,service_success,0.0,False
-28.486862,26,44.304562,False,5.516937825483204,True,False,2.521163825225598,out_of_bounds,True,0.8967646363193879,0.0,2.667829252136392,3.8067262193083793,2.667829252136392,1.4562131918200665,26,26,1.0,1.3426720182819794,1.793711581496792,0.703525340643165,0.7071067811865476,0.5,-0.5,0.5,0.07606077194213867,simulator_service,service_success,True,,0.0195,0.0,service_success,0.0,False
-23.923372,25,53.51383,False,2.775784426182801,True,False,2.5043319247684837,out_of_bounds,True,0.7651449001102505,0.0,1.4562325878932,3.4779487788124794,1.4992284158559193,1.63948524757737,25,25,1.0,1.2215226277256763,1.7577430735898363,0.615529728022805,0.7071067811865476,-0.5,-0.5,0.24125000834465027,-1.482901692390442,simulator_service,service_success,True,,0.0188,0.0,service_success,0.0,False
-17.758879,24,62.60378,False,1.0779938578734898,True,False,2.5066744307749023,out_of_bounds,True,0.12983778707063606,0.0,1.2011195873930283,1.4270030420917956,1.2011195873930283,1.4101275439205263,24,24,1.0,0.4071398553003978,0.9452856982513752,0.19644711792480865,0.44492744827430464,0.10827487707138062,-0.23944149911403656,0.4436245858669281,0.15190890431404114,simulator_service,service_success,True,,0.0185,0.0001,service_success,0.0,False
-20.75564,11,68.941978,False,4.987622473291188,True,False,2.506671507142237,out_of_bounds,True,0.2852212760070268,0.0,0.9806927625631107,1.410194501580473,0.9806927625631107,1.5957501897570092,11,11,1.0,1.2440254060681857,1.793711581496792,0.6447348125879266,0.7071067811865476,0.3442622423171997,0.5,0.5,0.06783168762922287,simulator_service,service_success,True,,0.0167,0.0,service_success,0.0,False
-17.797108,9,75.150752,False,2.6086442847330416,True,False,2.5031890256719835,out_of_bounds,True,0.6858344108406318,0.0,1.1733729665593786,1.3326288245621138,1.1733729665593786,1.7020411452973343,9,9,1.0,0.9202826318990636,1.0244285059495606,0.7071067811865477,0.7071067811865476,0.5,-0.5,0.5,-0.27820301055908203,simulator_service,service_success,True,,0.0173,0.0,service_success,0.0,False
-41.54564,72,94.342533,False,3.445116439848113,True,False,2.531792369453404,out_of_bounds,True,0.6455015495920926,0.0,1.3054982426796222,9.183022718827676,1.446542887245903,1.2034913928879643,72,72,1.0,0.8381605326430193,1.5875815599446215,0.5333026752999295,0.7071067811865476,-0.5,-0.5,0.5,0.41338875889778137,simulator_service,service_success,True,,0.0152,0.0,service_success,0.0,False
-69.42151,98,118.861595,False,4.134680187967549,True,False,2.550670146186136,out_of_bounds,True,0.1964237252784888,0.0,1.5844733484219242,13.334646529903825,1.7591266457820525,1.1032195770657023,98,98,1.0,1.2025248562000195,1.793711581496792,0.5608526628794357,0.7071067811865476,0.5,0.3470081388950348,-0.5,1.0033460855484009,simulator_service,service_success,True,,0.0125,0.0,service_success,0.0,False
-20.786701,25,128.470362,False,1.7905796861941894,True,False,2.5086006080184626,out_of_bounds,True,0.16143412728376094,0.0,1.8147199620265808,2.6590748629677745,1.816020738464605,1.2308645269999943,25,25,1.0,0.7510232749325045,1.2430903086646286,0.44937168061418803,0.7071067811865476,-0.09943293780088425,-0.5,0.16663584113121033,-0.24309584498405457,simulator_service,service_success,True,,0.0132,0.0012,service_success,0.0,False
