#{"t_start": 1783203702.6934943, "env_id": "None"}
r,l,t,is_success,final_distance,is_out_of_bounds,is_unsafe_low_altitude,altitude,terminal_reason,terminal_stop_command_accepted,terminal_yaw_error,terminal_yaw_penalty,physical_displacement,path_length,max_physical_displacement,min_altitude,motion_command_steps,motion_command_accepted_steps,motion_command_acceptance_rate,mean_action_norm,max_action_norm,mean_xy_action_norm,max_xy_action_norm,last_action_vx,last_action_vy,last_action_vz,last_action_vyaw,reset_method,reset_path,reset_service_attempted,reset_failure_class,reset_position_error,reset_yaw_error,reset_service_status,vertical_safety_penalty,low_altitude_guard_active,bounds_guard_active
14.027338,55,30.35658,True,0.3839556504798794,False,False,1.8781281739869256,success,True,0.023855085285795087,0.23855085285795086,1.0507149602314874,3.2989737338711675,1.0507149602314874,1.0840009837062108,55,55,1.0,0.3718391957178485,0.9166604879113021,0.25656092510030676,0.4759474711067225,0.09349320828914642,0.16050481796264648,0.04768317565321922,-0.16140107810497284,simulator_service,service_success,True,,0.073,1.1187,service_success,0.0,False,False
13.947922,20,42.071218,True,0.3647718715967663,False,False,1.1693829682674115,success,True,0.4720063145711226,4.720063145711226,1.1518757197277107,1.511946705808867,1.1518757197277107,1.1349411588003664,20,20,1.0,0.4216636449724446,0.8665551197023069,0.31460037186267786,0.7071067811865476,0.5,-0.27172037959098816,0.10264933109283447,0.05520261824131012,velocity,post_controller_hold,False,,0.1762,0.9516,not_attempted,0.0,False,False
-27.857128,200,94.209837,False,2.481345380457157,False,False,1.6478017482864726,max_steps,True,0.5532804689445023,0.0,2.8388051339416447,17.641873384001695,3.3652541339078876,1.010284735880274,200,200,1.0,0.5564836330238085,1.173799968178057,0.3772946404070822,0.7071067811865476,0.11806648969650269,0.061441730707883835,0.22952866554260254,0.3262600302696228,velocity,post_controller_hold,False,,0.1574,0.0101,not_attempted,0.0,False,False
-64.1698,200,150.21476,False,3.060298461161145,False,False,1.821242681987022,max_steps,True,0.11258957162157567,0.0,2.0261312698171268,23.615114213558808,3.326054373367992,1.0419526043113434,200,200,1.0,0.8031747574694812,1.755150359764174,0.5046991553363298,0.7071067811865476,-0.2,0.5,-0.5,-0.08075973391532898,velocity,post_controller_hold,False,,0.1427,1.7897,not_attempted,0.0,False,True
-107.14011,200,201.324756,False,5.778970019801061,False,False,1.0017453758343247,max_steps,True,0.13724352862006395,0.0,3.7450864534434074,26.073553111603108,4.816193120032848,0.952815181174347,200,200,1.0,0.9809863184142759,1.793711581496792,0.5749472124061675,0.7071067811865476,-0.5,0.11245718598365784,0.5,-0.09788766503334045,velocity,post_controller_hold,False,,0.1779,2.1606,not_attempted,0.0,True,False
-5.673188,97,234.525052,True,0.3706703937933821,False,False,1.6811410086451934,success,True,0.6419558057162573,6.419558057162574,1.6402541527655792,13.067227961835666,3.4146976119311354,0.9861857871389889,97,97,1.0,1.0349118447640597,1.7370336752630184,0.5984682934282086,0.7071067811865476,-0.5,-0.5,-0.1500515192747116,1.0692827701568604,velocity,post_controller_hold,False,,0.1789,1.5592,not_attempted,0.0,False,False
-88.90965,200,286.363383,False,6.104875194504887,False,False,0.9616938933557395,max_steps,True,0.28994792462246033,0.0,3.9912331171090707,27.254240235278026,4.172370469642643,0.9616938933557395,200,200,1.0,1.0767626486495971,1.793711581496792,0.5989891102462296,0.7071067811865476,-0.5,-0.5,0.5,-0.5119298696517944,velocity,post_controller_hold,False,,0.2154,1.2733,not_attempted,0.0,True,False
-94.53654,200,333.746108,False,5.27436356576214,False,False,1.2250514004035857,max_steps,True,0.20254118210436048,0.0,4.320888802899521,25.84811052570394,5.414953229031928,1.0164537588660723,200,200,1.0,1.019720873267879,1.793711581496792,0.5557038311333651,0.7071067811865476,-0.06572287529706955,0.18191710114479065,0.1521458625793457,0.49422505497932434,velocity,post_controller_hold,False,,0.1715,1.563,not_attempted,0.0,False,False
-86.877365,200,383.764926,False,4.025055574001253,False,False,1.494889335782353,max_steps,True,0.10354179203818958,0.0,4.681920125161294,24.826523082524606,4.862615001432226,1.0696329108662295,200,200,1.0,1.0573210667970172,1.793711581496792,0.5455284849745285,0.7071067811865476,0.5,0.5,-0.5,1.012393832206726,velocity,post_controller_hold,False,,0.1675,2.6232,not_attempted,0.0,False,False
-108.65552,200,438.579003,False,4.839419984088276,False,False,1.0855420312856714,max_steps,True,0.7179474711579839,0.0,3.2726935476836663,26.102684722108517,4.418247562869664,1.0094407803393108,200,200,1.0,1.0385069952390535,1.793711581496792,0.5420061673632328,0.7071067811865476,0.3545745015144348,-0.5,0.5,-0.9091207981109619,velocity,post_controller_hold,False,,0.1732,1.3975,not_attempted,0.0,True,False
