#{"t_start": 1783247398.5600903, "env_id": "None"}
r,l,t,is_success,final_distance,is_out_of_bounds,is_unsafe_low_altitude,altitude,terminal_reason,terminal_stop_command_accepted,terminal_yaw_error,terminal_yaw_penalty,physical_displacement,path_length,max_physical_displacement,min_altitude,motion_command_steps,motion_command_accepted_steps,motion_command_acceptance_rate,mean_action_norm,max_action_norm,mean_xy_action_norm,max_xy_action_norm,last_action_vx,last_action_vy,last_action_vz,last_action_vyaw,reset_method,reset_path,reset_service_attempted,reset_failure_class,reset_position_error,reset_yaw_error,reset_service_status,vertical_safety_penalty,low_altitude_guard_active,bounds_guard_active
-5.8119755,125,44.758103,True,0.3905575929757054,False,False,1.6714053747870683,success,True,0.8059340760306966,8.059340760306966,1.0364530073481928,18.288635552804955,2.353635242118713,0.8985043194364577,125,125,1.0,1.7302928092891565,1.793711581496792,0.6756059764935378,0.7071067811865476,0.5,0.5,0.5,1.5707963705062866,simulator_service,service_success,True,,0.0725,1.1153,service_success,0.0,False,False
-2.0271168,77,67.994344,True,0.35982344224891816,False,False,1.2029575093011957,success,True,0.7666118580067427,7.666118580067427,4.7754523862132086,11.662663009958184,5.499393836668943,0.9459893589440129,77,77,1.0,1.7330117656613433,1.793711581496792,0.6901960088388119,0.7071067811865476,-0.5,0.5,0.5,1.5707963705062866,velocity,post_controller_hold,False,,0.1872,0.8404,not_attempted,0.0,True,False
-5.712573,110,101.990393,True,0.38593278994799496,False,False,1.6860680167894124,success,True,0.7474407519792631,7.4744075197926305,4.468248563223225,16.87527664247343,5.1838455782917645,0.9767433395552908,110,110,1.0,1.725719676210255,1.793711581496792,0.6954548922857631,0.7071067811865476,0.5,0.5,-0.5,-1.5707963705062866,velocity,post_controller_hold,False,,0.1426,2.7956,not_attempted,0.0,False,True
9.281676,41,122.308153,True,0.2958339707860539,False,False,1.1650621691482517,success,True,0.5287464846119387,5.287464846119388,1.1603990623609952,6.391773764815441,1.2622196590253083,1.1438778304610937,41,41,1.0,1.7910817689982028,1.793711581496792,0.703472967335992,0.7071067811865476,0.5,-0.5,0.5,-1.5707963705062866,velocity,post_controller_hold,False,,0.1649,0.3875,not_attempted,0.0,False,False
5.419318,39,138.037782,True,0.3109384274090658,False,False,1.4593807848181255,success,True,0.6312257300040467,6.312257300040467,3.7816509941557634,5.811473754603775,3.7816509941557634,1.118434836598449,39,39,1.0,1.7209609471953196,1.793711581496792,0.69721909591842,0.7071067811865476,0.5,0.5,0.5,-1.5372323989868164,velocity,post_controller_hold,False,,0.1162,1.058,not_attempted,0.0,False,False
9.9777775,26,152.336583,True,0.3854743972484947,False,False,1.7367414515302448,success,True,0.6578986245780482,6.578986245780482,1.3886706777846478,3.94487113211687,1.3886706777846478,1.1501541551041083,26,26,1.0,1.7103439337573054,1.793711581496792,0.7071067811865477,0.7071067811865476,0.5,-0.5,-0.5,1.5707963705062866,velocity,post_controller_hold,False,,0.1646,1.4779,not_attempted,0.0,False,False
-4.2199316,48,171.676517,True,0.2863999038122969,False,False,1.7154990555958591,success,True,0.8164274442635703,8.164274442635703,4.369737862704322,7.820194512964734,4.369737862704322,1.250036193738816,48,48,1.0,1.7026837356358617,1.793711581496792,0.6984103931678799,0.7071067811865476,0.5,0.5,-0.5,-1.5707963705062866,velocity,post_controller_hold,False,,0.1677,2.7881,not_attempted,0.0,False,True
2.662753,37,185.871342,True,0.37816992276024136,False,False,1.658476299126261,success,True,0.7547870070282588,7.547870070282588,2.7336176134536716,5.814664578366493,2.7336176134536716,1.086638065538917,37,37,1.0,1.5820747622624076,1.793711581496792,0.7024257854714625,0.7071067811865476,0.5,-0.5,-0.5,1.5707963705062866,velocity,post_controller_hold,False,,0.1454,2.6133,not_attempted,0.0,False,True
6.1612186,54,211.088385,True,0.39042029278101215,False,False,1.2994203573756826,success,True,0.410788222274214,4.10788222274214,3.7844119439303174,8.24533076602782,4.371066819912451,1.0187898264996533,54,54,1.0,1.6379258662806253,1.793711581496792,0.6847462396594659,0.7071067811865476,0.5,0.5,-0.5,0.6997531652450562,velocity,post_controller_hold,False,,0.1474,0.8417,not_attempted,0.0,False,False
7.686906,38,229.406529,True,0.34232740699630465,False,False,1.2860425460557114,success,True,0.09635424449833058,0.9635424449833058,4.771078529636442,6.074165106152069,4.771078529636442,1.1132448874202618,38,38,1.0,1.6994973279368366,1.793711581496792,0.7071067811865471,0.7071067811865476,0.5,0.5,0.5,-1.5707963705062866,velocity,post_controller_hold,False,,0.1097,2.7115,not_attempted,0.0,False,False
